est,err,est_card,true_card,query_dur_ms
origin-census_11.700,34.0,1,34,32.5164794921875
origin-census_11.700,1.125,18,16,17.002582550048828
origin-census_11.700,1.2583333333333333,151,120,16.999483108520508
origin-census_11.700,1.0,3,3,17.000198364257812
origin-census_11.700,1.0,1,1,17.00901985168457
origin-census_11.700,1.0048309178743962,1248,1242,16.506433486938477
origin-census_11.700,1.0,1,1,17.001867294311523
origin-census_11.700,1.0,1,1,17.522335052490234
origin-census_11.700,1.208285648889906,4369,5279,17.00758934020996
origin-census_11.700,33.6,5,168,17.52185821533203
origin-census_11.700,1.1216931216931216,1060,945,17.00305938720703
origin-census_11.700,1.0,1,1,17.002344131469727
origin-census_11.700,18.75,20,375,16.00193977355957
origin-census_11.700,2.0142857142857142,70,141,17.009973526000977
origin-census_11.700,1.174757281553398,121,103,17.519235610961914
origin-census_11.700,1.0,1,1,17.001628875732422
origin-census_11.700,1.3128654970760234,449,342,17.002582550048828
origin-census_11.700,1.0,1,1,17.598867416381836
origin-census_11.700,1.2798507462686568,1029,804,19.51122283935547
origin-census_11.700,1.3125,189,144,21.001815795898438
origin-census_11.700,1.209486166007905,253,306,22.00007438659668
origin-census_11.700,1.0454545454545454,66,69,22.998571395874023
origin-census_11.700,1.0,1,1,17.504453659057617
origin-census_11.700,1.0,1,1,16.99995994567871
origin-census_11.700,1.903323262839879,993,1890,16.999483108520508
origin-census_11.700,1.0,15,15,18.00060272216797
origin-census_11.700,1.092783505154639,106,97,19.526243209838867
origin-census_11.700,1.0596137699412258,10096,9528,20.998716354370117
origin-census_11.700,1.2,6,5,21.97742462158203
origin-census_11.700,1.2633744855967077,921,729,23.003339767456055
origin-census_11.700,1.5217391304347827,35,23,18.507719039916992
origin-census_11.700,1.0,1,1,17.00115203857422
origin-census_11.700,1.0361509835194045,1881,1949,16.999483108520508
origin-census_11.700,1.0,12,12,18.007278442382812
origin-census_11.700,1.129639889196676,4078,3610,20.513534545898438
origin-census_11.700,1.3391003460207613,387,289,22.000789642333984
origin-census_11.700,1.2464929859719438,622,499,23.00286293029785
origin-census_11.700,1.0906200317965025,686,629,21.12269401550293
origin-census_11.700,32.0,1,32,18.997907638549805
origin-census_11.700,1.0,1,1,18.96500587463379
origin-census_11.700,1.1612903225806452,72,62,18.002033233642578
origin-census_11.700,1.1666666666666667,28,24,18.004417419433594
origin-census_11.700,1.2108350586611456,2898,3509,22.314071655273438
origin-census_11.700,1.0,1,1,20.999431610107422
origin-census_11.700,1.0,14,14,21.999835968017578
origin-census_11.700,2.0,1,2,20.508289337158203
origin-census_11.700,1.0,1,1,17.999649047851562
origin-census_11.700,1.0,1,1,18.00060272216797
origin-census_11.700,1.0,1,1,19.004106521606445
origin-census_11.700,1.5769230769230769,41,26,19.003629684448242
