est,err,est_card,true_card,query_dur_ms
origin-forest_43.843,1.0,1,1,22.000789642333984
origin-forest_43.843,1.0,1,1,10.002851486206055
origin-forest_43.843,62.0,1,62,11.19685173034668
origin-forest_43.843,1.5,9,6,9.998559951782227
origin-forest_43.843,1.0,1,1,10.000228881835938
origin-forest_43.843,8.0,1,8,9.998559951782227
origin-forest_43.843,1.09375,32,35,8.999824523925781
origin-forest_43.843,1.4682539682539681,3515,2394,9.999990463256836
origin-forest_43.843,1.0,1,1,9.581804275512695
origin-forest_43.843,2.0,2,1,9.999990463256836
origin-forest_43.843,1.2275449101796407,167,205,9.000539779663086
origin-forest_43.843,1.8533333333333333,278,150,8.99958610534668
origin-forest_43.843,112.375,8,899,10.001420974731445
origin-forest_43.843,1.3133640552995391,434,570,10.000944137573242
origin-forest_43.843,1.5734177215189873,790,1243,8.998394012451172
origin-forest_43.843,3.0,3,9,9.001016616821289
origin-forest_43.843,1.0,1,1,9.003877639770508
origin-forest_43.843,1.0736015701668302,3282,3057,11.008262634277344
origin-forest_43.843,1.0,1,1,9.000301361083984
origin-forest_43.843,4.863101079489696,2038,9911,10.00070571899414
origin-forest_43.843,1.1578435459219119,8333,7197,9.000301361083984
origin-forest_43.843,1.0,1,1,9.000778198242188
origin-forest_43.843,1.0,1,1,8.999347686767578
origin-forest_43.843,5.0,1,5,10.00070571899414
origin-forest_43.843,1.0344827586206897,29,30,9.000539779663086
origin-forest_43.843,1.0,1,1,8.999347686767578
origin-forest_43.843,1.0,1,1,10.004520416259766
origin-forest_43.843,1.0,1,1,8.999824523925781
origin-forest_43.843,1.0,1,1,9.996414184570312
origin-forest_43.843,1.4693957115009746,2565,3769,10.995864868164062
origin-forest_43.843,2.0,2,1,13.002872467041016
origin-forest_43.843,5.493333333333333,412,75,10.001897811889648
origin-forest_43.843,1.0,1,1,8.998870849609375
origin-forest_43.843,5.0,3,15,9.507417678833008
origin-forest_43.843,55.0,1,55,8.998394012451172
origin-forest_43.843,1.0,1,1,10.999202728271484
origin-forest_43.843,2.5945399393326594,989,2566,9.999275207519531
origin-forest_43.843,20.0,1,20,9.001016616821289
origin-forest_43.843,1.0,1,1,9.999990463256836
origin-forest_43.843,1.0,1,1,10.006189346313477
origin-forest_43.843,1.0357142857142858,29,28,10.000944137573242
origin-forest_43.843,7.739130434782608,23,178,9.000778198242188
origin-forest_43.843,136.0,1,136,10.001420974731445
origin-forest_43.843,1.0,1,1,9.994745254516602
origin-forest_43.843,1.0,1,1,9.000778198242188
origin-forest_43.843,1.0,1,1,9.999513626098633
origin-forest_43.843,1.115562403697997,649,724,11.001110076904297
origin-forest_43.843,8.0,1,8,10.00523567199707
origin-forest_43.843,1.0,1,1,9.518861770629883
origin-forest_43.843,1.75,7,4,9.502887725830078
